,f1-score,precision,recall,accuracy,bal_accuracy
Campylobacter_transcriptional_regulator,0.40224159402241594,0.2638888888888889,0.8455497382198953,0.9802473200139915,0.9134320789235066
Campylobacter_transcriptional_activator,0.9565217391304348,1.0,0.9166666666666666,0.9996380745566413,0.9583333333333333
Campylobacter_transcriptional_repressor,0.24707846410684475,0.1436893203883495,0.8809523809523809,0.9721346926166203,0.9267813889110703
Campylobacter_packaging_assembly,0.3311666096476223,0.20772532188841203,0.8161888701517707,0.9644183168316832,0.8911122268368465
Campylobacter_adsorption-related,0.5065926439972241,0.3709349593495935,0.7986870897155361,0.978032503244145,0.8896440870245549
Campylobacter_cell_wall_depolymerase,0.36459114778694673,0.23478260869565218,0.8154362416107382,0.9675267415558026,0.8923603546622627
Campylobacter_RNA-associated,0.4461738002594034,0.31473010064043916,0.7661469933184856,0.9779521867093509,0.8732915977432183
Campylobacter_nucleotide_metabolism,0.41701534170153415,0.2804878048780488,0.8125,0.9643572798976764,0.8896389201715251
Campylobacter_ejection,1.0,1.0,1.0,1.0,1.0
Campylobacter_phosphorylation,0.45294117647058824,0.3070787637088734,0.8627450980392157,0.9613807422787438,0.9129940848774458
Campylobacter_transferase,0.4624657534246575,0.3199393479909022,0.83399209486166,0.9640171661225837,0.9002340786002436
Campylobacter_reductase,0.5341074020319303,0.3857442348008386,0.8679245283018868,0.9660029654734167,0.9180901081379423
Campylobacter_anti-restriction,0.4325153374233129,0.2964260686755431,0.7996219281663516,0.9578187345620368,0.8803430357499717
Campylobacter_sir2,0.34285714285714286,0.27906976744186046,0.4444444444444444,0.9529652351738241,0.7059235892043463
Campylobacter_toxin,0.9473684210526315,0.9,1.0,0.9995866060355518,0.999792531120332
Campylobacter_super_infection,0.3968253968253968,0.25125628140703515,0.9433962264150944,0.967409948542024,0.9555410973758404
Campylobacter_lysis,0.34598324297683586,0.22145110410094637,0.7905405405405406,0.9678310828828393,0.8801503153605734
Campylobacter_lysis_inhibitor,0.3076923076923077,0.18604651162790697,0.8888888888888888,0.963855421686747,0.9267139479905437
Campylobacter_holin,0.36257309941520466,0.23425692695214106,0.8017241379310345,0.9760999853822541,0.8896575871728001
Campylobacter_spanin,0.34440344403444034,0.21021021021021022,0.9523809523809523,0.9505290514200854,0.9514421935142741
Campylobacter_pvp,,,,,
Campylobacter_DNA-associated,,,,,
Caulobacter_capsid,0.4142581888246628,0.2625152625152625,0.9817351598173516,0.9827454096546244,0.9822434437501288
Caulobacter_tail,0.6049491825011047,0.4383605507524816,0.9757662152530292,0.9883108222957335,0.9820965822469594
Caulobacter_baseplate,0.2195845697329377,0.12374581939799331,0.9736842105263158,0.9912406328059951,0.9824735455539506
Caulobacter_tail_appendage,0.6788793103448276,0.5206611570247934,0.9752321981424149,0.9933821896513435,0.9843727591020751
Caulobacter_tail_sheath,0.64,0.47058823529411764,1.0,0.9966285821314853,0.9983092241217358
Caulobacter_portal,0.5070422535211268,0.33962264150943394,1.0,0.9906604402935291,0.9953076819949055
