,f1-score,precision,recall,accuracy,bal_accuracy
Caulobacter_RNA-associated,0.0,0.0,0.0,0.9931693989071039,0.49890200384298655
Caulobacter_nucleotide_metabolism,0.2222222222222222,0.23404255319148937,0.21153846153846154,0.9851121423047177,0.6022536057692307
Caulobacter_ejection,0.012738853503184714,0.006622516556291391,0.16666666666666666,0.9526572999389127,0.5603835169318645
Caulobacter_phosphorylation,0.449438202247191,0.5714285714285714,0.37037037037037035,0.9919354838709677,0.6839397517743582
Caulobacter_transferase,0.16326530612244897,0.14634146341463414,0.18461538461538463,0.9779530381788851,0.5859602131636952
Caulobacter_reductase,0.16666666666666666,0.1,0.5,0.9957482993197279,0.7480851063829788
Caulobacter_anti-restriction,0.5392156862745098,0.5288461538461539,0.55,0.9869226488592098,0.771543453724605
Caulobacter_sir2,0.0,0.0,0.0,1.0,1.0
Caulobacter_toxin,0.0,0.0,0.0,1.0,1.0
Caulobacter_super_infection,0.35294117647058826,0.23076923076923078,0.75,0.9775510204081632,0.8647119341563786
Caulobacter_lysis,0.01764705882352941,0.010714285714285714,0.05,0.9693943003756987,0.5122385515525661
Caulobacter_lysis_inhibitor,0.0,0.0,0.0,1.0,1.0
Caulobacter_holin,0.0,0.0,0.0,0.9934296977660972,0.49884526558891457
Caulobacter_spanin,0.0,0.0,0.0,0.9954441913439636,0.4988584474885845
Caulobacter_pvp,,,,,
Caulobacter_DNA-associated,,,,,
Cellulophaga_capsid,0.01818181818181818,0.0125,0.03333333333333333,0.9873015873015873,0.5120058997050148
Cellulophaga_tail,0.16279069767441862,0.09516616314199396,0.5625,0.9837124544426291,0.7737007851687545
Cellulophaga_baseplate,0.03278688524590164,0.020833333333333332,0.07692307692307693,0.99225620160126,0.5353718724084225
Cellulophaga_tail_appendage,0.32653061224489793,0.25396825396825395,0.45714285714285713,0.993382795267696,0.7262070055912495
Cellulophaga_tail_sheath,0.0,0.0,0.0,1.0,1.0
Cellulophaga_portal,0.0,0.0,0.0,0.981853532080363,0.4950980392156863
Cellulophaga_head-tail_joining,0.3448275862068966,0.2631578947368421,0.5,0.9966933518969718,0.7487796373779637
Cellulophaga_integration,0.08633093525179857,0.048582995951417005,0.3870967741935484,0.9763037596790746,0.6825547493722233
Cellulophaga_nuclease,0.0335195530726257,0.01875,0.15789473684210525,0.985307855626327,0.5722699271144858
Cellulophaga_DNA_polymerase,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.998582709050415,0.7271712662337663
Cellulophaga_terminase,0.2777777777777778,0.16393442622950818,0.9090909090909091,0.9829898593392215,0.9461738196143974
